study id	Exclude	study name	study identifier	study published	experiment id	experiment name	chemical	animal group id	animal group name	lifestage exposed	lifestage assessed	species	species strain	generation	animal description	animal description (with N)	sex	route	treatment period	duration exposure	endpoint id	endpoint name	system	organ	effect	effect subtype	diagnostic	tags	observation time	data type	doses	dose units	response units	expected adversity direction	maximum endpoint change	low_dose	NOEL	LOEL	FEL	high_dose	key	dose index	dose	N	incidence	response	stdev	lower_ci	upper_ci	pairwise significant	percent control mean	percent control low	percent control high
174125	FALSE	Buratovic et al. 2014		FALSE	1330	Developmental neurotoxicity (neonatal exposure)	PBDE 209	2408	NMRI mice	PND 3		Mouse	Mouse NMRI	F1	F1 Mouse, NMRI (♂)	F1 Mouse, NMRI (♂, N=13-15)	Male	oral gavage	developmental (PND 3)	PND 3	24014	Morris water maze (latency, last trial)			learning and memory: Morris water maze	Latency to find platform	Morris water maze	|Last trial|	5 months	Continuous	0.0, 3.4, 7.9 mg/kg-day	mg/kg-day	sec	0	62.5	3.4				7.9	37341	2	7.9	13		10.5				FALSE	31.25		
174125	FALSE	Buratovic et al. 2014		FALSE	1330	Developmental neurotoxicity (neonatal exposure)	PBDE 209	2408	NMRI mice	PND 3		Mouse	Mouse NMRI	F1	F1 Mouse, NMRI (♂)	F1 Mouse, NMRI (♂, N=13-15)	Male	oral gavage	developmental (PND 3)	PND 3	24020	Morris water maze (latency, last trial)			learning and memory: Morris water maze	Latency to find platform	Morris water maze	|Last trial|	7 months	Continuous	0.0, 3.4, 7.9 mg/kg-day	mg/kg-day	sec	0	353.8461538	3.4				7.9	37357	0	0	13		2.6				FALSE	0		
174125	FALSE	Buratovic et al. 2014		FALSE	1330	Developmental neurotoxicity (neonatal exposure)	PBDE 209	2408	NMRI mice	PND 3		Mouse	Mouse NMRI	F1	F1 Mouse, NMRI (♂)	F1 Mouse, NMRI (♂, N=13-15)	Male	oral gavage	developmental (PND 3)	PND 3	24020	Morris water maze (latency, last trial)			learning and memory: Morris water maze	Latency to find platform	Morris water maze	|Last trial|	7 months	Continuous	0.0, 3.4, 7.9 mg/kg-day	mg/kg-day	sec	0	353.8461538	3.4				7.9	37358	1	3.4	15		8.2				TRUE	215.3846154		
174125	FALSE	Buratovic et al. 2014		FALSE	1330	Developmental neurotoxicity (neonatal exposure)	PBDE 209	2408	NMRI mice	PND 3		Mouse	Mouse NMRI	F1	F1 Mouse, NMRI (♂)	F1 Mouse, NMRI (♂, N=13-15)	Male	oral gavage	developmental (PND 3)	PND 3	24020	Morris water maze (latency, last trial)			learning and memory: Morris water maze	Latency to find platform	Morris water maze	|Last trial|	7 months	Continuous	0.0, 3.4, 7.9 mg/kg-day	mg/kg-day	sec	0	353.8461538	3.4				7.9	37359	2	7.9	13		11.8				TRUE	353.8461538		
173488	FALSE	Chen et al. 2014		FALSE	1314	Developmental neurotoxicity	PBDE 209	2390	Sprague Dawley rats	GD 1- 14	PND 25	Rat	Rat Sprague-Dawley	F1	F1 Rat, Sprague-Dawley (♂)	F1 Rat, Sprague-Dawley (♂, N=20)	Male	oral gavage	developmental (GD 1- 14)	GD 1- 14	23894	Morris water maze (latency, last trial)			learning and memory: Morris water maze	Latency to find platform	Morris water maze	|Last trial|	PND 28	Continuous	0.0, 10.0, 30.0, 50.0 mg/kg-day	mg/kg-day	sec	0	40.91833769	10		30		50	36916	0	0	20		34.41	7.87	30.73	38.09	FALSE	0	-14.17575279	14.17575279
173488	FALSE	Chen et al. 2014		FALSE	1314	Developmental neurotoxicity	PBDE 209	2390	Sprague Dawley rats	GD 1- 14	PND 25	Rat	Rat Sprague-Dawley	F1	F1 Rat, Sprague-Dawley (♂)	F1 Rat, Sprague-Dawley (♂, N=20)	Male	oral gavage	developmental (GD 1- 14)	GD 1- 14	23894	Morris water maze (latency, last trial)			learning and memory: Morris water maze	Latency to find platform	Morris water maze	|Last trial|	PND 28	Continuous	0.0, 10.0, 30.0, 50.0 mg/kg-day	mg/kg-day	sec	0	40.91833769	10		30		50	36917	1	10	20		40.68	6.75	37.52	43.84	FALSE	18.22144725	3.58104858	32.86184593
173488	FALSE	Chen et al. 2014		FALSE	1314	Developmental neurotoxicity	PBDE 209	2390	Sprague Dawley rats	GD 1- 14	PND 25	Rat	Rat Sprague-Dawley	F1	F1 Rat, Sprague-Dawley (♂)	F1 Rat, Sprague-Dawley (♂, N=20)	Male	oral gavage	developmental (GD 1- 14)	GD 1- 14	23894	Morris water maze (latency, last trial)			learning and memory: Morris water maze	Latency to find platform	Morris water maze	|Last trial|	PND 28	Continuous	0.0, 10.0, 30.0, 50.0 mg/kg-day	mg/kg-day	sec	0	40.91833769	10		30		50	36918	2	30	20		44.72	6.61	41.63	47.81	TRUE	29.96222028	14.45143603	45.47300454
173488	FALSE	Chen et al. 2014		FALSE	1314	Developmental neurotoxicity	PBDE 209	2390	Sprague Dawley rats	GD 1- 14	PND 25	Rat	Rat Sprague-Dawley	F1	F1 Rat, Sprague-Dawley (♂)	F1 Rat, Sprague-Dawley (♂, N=20)	Male	oral gavage	developmental (GD 1- 14)	GD 1- 14	23894	Morris water maze (latency, last trial)			learning and memory: Morris water maze	Latency to find platform	Morris water maze	|Last trial|	PND 28	Continuous	0.0, 10.0, 30.0, 50.0 mg/kg-day	mg/kg-day	sec	0	40.91833769	10		30		50	36919	3	50	20		48.49	6.47	45.46	51.52	TRUE	40.91833769	24.56495723	57.27171815
173488	TRUE	Chen et al. 2014		FALSE	1314	Developmental neurotoxicity	PBDE 209	2390	Sprague Dawley rats	GD 1- 14	PND 25	Rat	Rat Sprague-Dawley	F1	F1 Rat, Sprague-Dawley (♂)	F1 Rat, Sprague-Dawley (♂, N=20)	Male	oral gavage	developmental (GD 1- 14)	GD 1- 14	23893	Morris water maze (latency, significant trial)			learning and memory: Morris water maze	Latency to find platform	Morris water maze	|Significant trial|Trial 3|	PND 27	Continuous	0.0, 10.0, 30.0, 50.0 mg/kg-day	mg/kg-day	sec	0	41.57937147	10		30		50	36912	0	0	20		37.23	8.15	33.42	41.04	FALSE	0	-13.56815024	13.56815024
173488	TRUE	Chen et al. 2014		FALSE	1314	Developmental neurotoxicity	PBDE 209	2390	Sprague Dawley rats	GD 1- 14	PND 25	Rat	Rat Sprague-Dawley	F1	F1 Rat, Sprague-Dawley (♂)	F1 Rat, Sprague-Dawley (♂, N=20)	Male	oral gavage	developmental (GD 1- 14)	GD 1- 14	23893	Morris water maze (latency, significant trial)			learning and memory: Morris water maze	Latency to find platform	Morris water maze	|Significant trial|Trial 3|	PND 27	Continuous	0.0, 10.0, 30.0, 50.0 mg/kg-day	mg/kg-day	sec	0	41.57937147	10		30		50	36913	1	10	20		44.9	7.17	41.54	48.26	FALSE	20.60166532	6.279570648	34.92376
173488	TRUE	Chen et al. 2014		FALSE	1314	Developmental neurotoxicity	PBDE 209	2390	Sprague Dawley rats	GD 1- 14	PND 25	Rat	Rat Sprague-Dawley	F1	F1 Rat, Sprague-Dawley (♂)	F1 Rat, Sprague-Dawley (♂, N=20)	Male	oral gavage	developmental (GD 1- 14)	GD 1- 14	23893	Morris water maze (latency, significant trial)			learning and memory: Morris water maze	Latency to find platform	Morris water maze	|Significant trial|Trial 3|	PND 27	Continuous	0.0, 10.0, 30.0, 50.0 mg/kg-day	mg/kg-day	sec	0	41.57937147	10		30		50	36914	2	30	20		48.38	4.08	46.47	50.29	TRUE	29.94896589	16.58834267	43.30958911
173488	TRUE	Chen et al. 2014		FALSE	1314	Developmental neurotoxicity	PBDE 209	2390	Sprague Dawley rats	GD 1- 14	PND 25	Rat	Rat Sprague-Dawley	F1	F1 Rat, Sprague-Dawley (♂)	F1 Rat, Sprague-Dawley (♂, N=20)	Male	oral gavage	developmental (GD 1- 14)	GD 1- 14	23893	Morris water maze (latency, significant trial)			learning and memory: Morris water maze	Latency to find platform	Morris water maze	|Significant trial|Trial 3|	PND 27	Continuous	0.0, 10.0, 30.0, 50.0 mg/kg-day	mg/kg-day	sec	0	41.57937147	10		30		50	36915	3	50	20		52.71	6.47	49.68	55.74	TRUE	41.57937147	26.00642831	57.15231464
